,2005_Both sexes,2005_Male,2005_Female,2006_Both sexes,2006_Male,2006_Female,2007_Both sexes,2007_Male,2007_Female,2008_Both sexes,2008_Male,2008_Female,2009_Both sexes,2009_Male,2009_Female,2010_Both sexes,2010_Male,2010_Female,2011_Both sexes,2011_Male,2011_Female,2012_Both sexes,2012_Male,2012_Female,2013_Both sexes,2013_Male,2013_Female,2014_Both sexes,2014_Male,2014_Female,2015_Both sexes,2015_Male,2015_Female
総     数,127768 ,62349 ,65419 ,127770 ,62330 ,65440 ,127771 ,62310 ,65461 ,127692 ,62251 ,65441 ,127510 ,62130 ,65380 ,128057 ,62328 ,65730 ,127799 ,62184 ,65615 ,127515 ,62029 ,65486 ,127298 ,61909 ,65388 ,127083 ,61801 ,65282 ,127095 ,61842 ,65253 
0,1061 ,542 ,519 ,1084 ,556 ,528 ,1094 ,562 ,533 ,1101 ,565 ,536 ,1078 ,553 ,525 ,1048 ,537 ,512 ,1068 ,549 ,520 ,1044 ,535 ,509 ,1042 ,534 ,508 ,1020 ,524 ,496 ,961 ,491 ,470 
1,1095 ,560 ,535 ,1054 ,539 ,515 ,1077 ,552 ,524 ,1087 ,558 ,529 ,1092 ,560 ,532 ,1048 ,536 ,512 ,1045 ,535 ,510 ,1067 ,548 ,519 ,1042 ,534 ,508 ,1041 ,533 ,508 ,974 ,499 ,475 
2,1120 ,574 ,546 ,1094 ,560 ,534 ,1052 ,537 ,515 ,1075 ,551 ,523 ,1084 ,556 ,528 ,1077 ,551 ,526 ,1045 ,535 ,511 ,1044 ,534 ,510 ,1067 ,548 ,519 ,1042 ,534 ,508 ,1010 ,516 ,494 
3,1154 ,591 ,562 ,1119 ,574 ,545 ,1093 ,559 ,534 ,1051 ,537 ,514 ,1072 ,550 ,522 ,1072 ,549 ,523 ,1074 ,550 ,525 ,1045 ,534 ,510 ,1044 ,534 ,509 ,1067 ,548 ,519 ,1016 ,520 ,497 
4,1169 ,600 ,569 ,1153 ,591 ,562 ,1118 ,573 ,545 ,1091 ,558 ,533 ,1050 ,536 ,513 ,1064 ,545 ,519 ,1070 ,548 ,522 ,1073 ,549 ,524 ,1044 ,534 ,510 ,1044 ,534 ,509 ,1045 ,535 ,509 
5,1187 ,610 ,577 ,1167 ,599 ,568 ,1151 ,590 ,561 ,1115 ,572 ,544 ,1088 ,557 ,532 ,1061 ,543 ,518 ,1062 ,544 ,518 ,1069 ,547 ,522 ,1073 ,549 ,524 ,1044 ,534 ,510 ,1048 ,537 ,510 
6,1184 ,607 ,577 ,1184 ,608 ,576 ,1164 ,597 ,567 ,1147 ,588 ,559 ,1111 ,570 ,542 ,1101 ,563 ,538 ,1059 ,542 ,517 ,1061 ,543 ,518 ,1069 ,547 ,522 ,1073 ,549 ,524 ,1059 ,542 ,516 
7,1198 ,614 ,584 ,1182 ,606 ,576 ,1183 ,607 ,575 ,1162 ,596 ,566 ,1145 ,587 ,558 ,1120 ,574 ,546 ,1100 ,562 ,538 ,1059 ,542 ,517 ,1061 ,543 ,518 ,1069 ,547 ,522 ,1079 ,553 ,526 
8,1193 ,611 ,582 ,1197 ,613 ,584 ,1182 ,606 ,576 ,1181 ,607 ,575 ,1160 ,595 ,565 ,1150 ,589 ,561 ,1119 ,574 ,545 ,1099 ,562 ,537 ,1059 ,542 ,517 ,1062 ,543 ,518 ,1071 ,549 ,522 
9,1188 ,609 ,579 ,1193 ,610 ,582 ,1196 ,613 ,583 ,1181 ,605 ,576 ,1180 ,606 ,574 ,1166 ,597 ,568 ,1150 ,589 ,561 ,1118 ,573 ,545 ,1099 ,562 ,537 ,1059 ,542 ,517 ,1063 ,544 ,519 
10,1209 ,619 ,590 ,1187 ,608 ,579 ,1191 ,610 ,582 ,1195 ,612 ,583 ,1179 ,604 ,574 ,1178 ,605 ,573 ,1165 ,597 ,568 ,1149 ,588 ,561 ,1118 ,573 ,545 ,1100 ,562 ,537 ,1065 ,545 ,520 
11,1210 ,620 ,590 ,1208 ,619 ,589 ,1185 ,607 ,578 ,1190 ,609 ,581 ,1193 ,611 ,582 ,1179 ,604 ,576 ,1177 ,604 ,573 ,1165 ,597 ,568 ,1149 ,589 ,561 ,1119 ,574 ,545 ,1103 ,564 ,539 
12,1192 ,611 ,581 ,1209 ,620 ,589 ,1207 ,618 ,589 ,1185 ,607 ,578 ,1188 ,608 ,580 ,1198 ,613 ,585 ,1179 ,604 ,576 ,1177 ,604 ,573 ,1166 ,597 ,568 ,1150 ,589 ,561 ,1123 ,575 ,547 
13,1214 ,623 ,591 ,1191 ,611 ,580 ,1209 ,619 ,589 ,1207 ,618 ,589 ,1183 ,606 ,577 ,1193 ,610 ,583 ,1198 ,613 ,585 ,1179 ,603 ,575 ,1177 ,604 ,573 ,1166 ,597 ,569 ,1156 ,593 ,564 
14,1212 ,621 ,591 ,1213 ,622 ,591 ,1191 ,611 ,580 ,1208 ,619 ,589 ,1206 ,618 ,589 ,1185 ,607 ,578 ,1193 ,610 ,583 ,1198 ,613 ,585 ,1179 ,604 ,576 ,1178 ,605 ,573 ,1173 ,602 ,571 
15,1238 ,635 ,603 ,1213 ,621 ,591 ,1213 ,622 ,591 ,1191 ,610 ,580 ,1208 ,619 ,589 ,1222 ,627 ,595 ,1186 ,607 ,578 ,1193 ,610 ,583 ,1198 ,613 ,585 ,1180 ,604 ,576 ,1201 ,618 ,583 
16,1278 ,656 ,621 ,1238 ,635 ,603 ,1212 ,621 ,591 ,1213 ,622 ,590 ,1190 ,610 ,580 ,1229 ,632 ,597 ,1221 ,627 ,595 ,1185 ,607 ,578 ,1193 ,610 ,583 ,1198 ,613 ,585 ,1202 ,618 ,584 
